"ProteinID","diff","pval","sig","comparison","group"
"P02671",-1.05511584534494,0.0316619044673933,"T","day0-day3","Asymp"
"P02679",-0.858185729169001,0.0349803678437472,"T","day0-day3","Asymp"
"P00747",-0.686094389102777,0.0243487141962898,"T","day0-day3","Asymp"
"P02647",1.59400182369075,0.0266587853632414,"T","day0-day3","Asymp"
"P01876",-0.429643131961783,0.0484764111728615,"T","day0-day3","Asymp"
"P01042",0.238034455672764,0.0480044972246916,"T","day0-day3","Asymp"
"P22792",-0.257075490160804,0.0370750044279728,"T","day0-day3","Asymp"
"P80108",-0.858403374112451,0.0166862696437107,"T","day0-day3","Asymp"
"P00748",-0.750911281794147,0.0300018929465543,"T","day0-day3","Asymp"
"P20851",-1.48996382054949,0.0490434473728222,"T","day0-day3","Asymp"
"B1AHL2",0.889343573301363,0.0195539198140011,"T","day0-day3","Asymp"
"E9PFZ2",-1.54847310522683,0.00947858720422736,"T","day0-day3","Asymp"
"A0A0C4DH33",1.50698025739243,0.0383245988579027,"T","day0-day3","Asymp"
"A0A0C4DH68",-0.836362920239665,0.00605133720578594,"T","day0-day3","Asymp"
"A0A0B4J1X5",-0.500053919210975,0.0257536076689056,"T","day0-day3","Asymp"
"P05155",-0.396896863212903,0.0472939273135612,"T","day0-day7","Asymp"
"P04004",-0.234491482591291,0.00542870256970719,"T","day0-day7","Asymp"
"C9JF17",-0.428119313819085,0.0270748240844479,"T","day0-day7","Asymp"
"A0A286YES1",-0.34477121702282,0.0247701526791312,"T","day0-day7","Asymp"
"F5H7G1",-0.662024268461504,0.0286814359861192,"T","day0-day7","Asymp"
"P02747",-0.377956607461969,0.0276676550420653,"T","day0-day7","Asymp"
"P01624",-0.462038735956209,0.0145299372928767,"T","day0-day7","Asymp"
"A0A0A0MS15",-0.37485507501843,0.010726731470048,"T","day0-day7","Asymp"
"P06312",-0.38332921302389,0.0421166547321621,"T","day0-day7","Asymp"
"P02787",-0.415156123899506,0.034870058696377,"T","day3-day7","Asymp"
"P01042",-0.317056803291607,0.0242244438158398,"T","day3-day7","Asymp"
"O75882",1.05743681345289,0.00950809696594181,"T","day3-day7","Asymp"
"P01019",0.294157496356407,0.0258710458242993,"T","day3-day7","Asymp"
"A0A286YES1",-0.183236978367868,0.0313295127937692,"T","day3-day7","Asymp"
"P80108",0.517244466716653,0.0478625000034415,"T","day3-day7","Asymp"
"A0A286YFJ8",-0.283700957708816,0.0356570057704274,"T","day3-day7","Asymp"
